Co/SiO2质量(mg),装料比,Co负载量,乙醇浓度,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),C4烯烃收率(%)
200.0,1.0,1.0,0.9,350.0,48.9370446484212,2.85,36.85,7.23,38.29,3.51,11.27,18.03330095294321
200.0,1.0,1.0,0.9,400.0,83.7133815760754,6.76,53.43,8.95,14.37,3.38,13.11,44.7280597760971
200.0,1.0,1.0,0.9,450.0,86.40970274029439,14.84,49.9,8.39,12.41,2.09,12.37,43.118441667406906
200.0,1.0,0.5,1.68,250.0,4.0193913236899,0.27,9.62,1.49,79.51,6.53,2.58,0.3866654453389684
200.0,1.0,0.5,1.68,275.0,12.0977578656973,0.36,8.62,1.66,81.44,5.18,2.74,1.0428267280231072
200.0,1.0,0.5,1.68,300.0,29.4765641102885,0.54,10.72,2.41,76.32,5.88,4.13,3.1598876726229275
200.0,1.0,0.5,1.68,325.0,43.32562197634849,1.02,18.89,4.42,59.65,7.64,8.38,8.184209991332231
200.0,1.0,0.5,1.68,350.0,60.4684283526454,2.23,27.25,6.8,45.0,8.73,9.99,16.47764672609587
200.0,1.0,0.5,1.68,400.0,88.4393444439815,3.67,41.02,10.82,16.47,10.51,17.51,36.27781909092121
200.0,1.0,2.0,0.3,250.0,14.787183361118698,0.14,1.96,3.27,88.42,3.36,2.85,0.2898287938779265
200.0,1.0,2.0,0.3,275.0,12.424010808388903,0.19,6.65,11.27,70.05,5.77,6.07,0.8261967187578619
200.0,1.0,2.0,0.3,300.0,20.8085764699292,0.74,10.12,13.18,62.45,5.66,7.85,2.1058279387568346
200.0,1.0,2.0,0.3,325.0,28.3488858758218,1.14,13.86,15.83,56.28,2.92,9.97,3.929155582388901
200.0,1.0,2.0,0.3,350.0,36.811578947555105,3.11,18.75,16.16,48.0,4.36,9.62,6.902171052666582
200.0,1.0,2.0,0.3,400.0,76.01983213765341,6.38,38.23,9.64,25.72,3.71,16.32,29.06238182622489
200.0,1.0,5.0,1.68,250.0,13.389396728335099,0.2,3.3,11.59,80.23,1.04,3.64,0.4418500920350582
200.0,1.0,5.0,1.68,275.0,12.780990768998999,0.38,7.1,26.67,55.7,2.02,8.13,0.9074503445989288
200.0,1.0,5.0,1.68,300.0,25.479216201846,1.46,7.18,28.51,51.07,2.12,9.66,1.8294077232925432
200.0,1.0,5.0,1.68,350.0,55.7550272411716,14.49,10.65,42.75,19.83,3.74,8.54,5.937910401184776
200.0,1.0,5.0,1.68,400.0,83.34761617588251,6.18,37.33,16.08,19.48,7.61,13.32,31.11366511845694
50.0,1.0,1.0,0.3,250.0,19.656291418611602,0.18,5.75,3.69,87.26,0.0,3.12,1.1302367565701672
50.0,1.0,1.0,0.3,275.0,29.044956254083,0.31,6.56,3.27,84.43,0.0,5.43,1.9053491302678447
50.0,1.0,1.0,0.3,300.0,39.9843661922415,0.57,8.84,3.98,79.99,0.0,6.62,3.534617971394149
50.0,1.0,1.0,0.3,350.0,58.6049967786163,2.28,18.64,8.23,45.04,3.24,22.57,10.923971399534075
50.0,1.0,1.0,0.3,400.0,76.0274161977392,8.31,33.25,5.79,24.57,6.76,21.32,25.27911588574829
50.0,1.0,1.0,0.9,250.0,6.265736933403269,0.14,5.63,1.59,86.5,0.0,6.14,0.35276098935060396
50.0,1.0,1.0,0.9,275.0,8.76156996024858,0.2,8.52,4.31,82.26,0.0,4.71,0.7464857606131791
50.0,1.0,1.0,0.9,300.0,13.1790478809351,0.52,13.82,4.6,72.79,0.0,8.27,1.8213444171452309
50.0,1.0,1.0,0.9,350.0,31.7206628928351,1.45,25.89,4.15,48.52,2.25,17.74,8.212479622955009
50.0,1.0,1.0,0.9,400.0,56.1163898081809,6.4,41.42,4.32,24.15,0.0,23.71,23.24340865854853
50.0,1.0,1.0,2.1,250.0,2.05316160924955,0.16,5.4,4.99,81.93,0.0,7.52,0.11087072689947572
50.0,1.0,1.0,2.1,275.0,3.00257162012393,0.33,9.68,4.66,75.09,0.0,10.24,0.2906489328279964
50.0,1.0,1.0,2.1,300.0,4.7292006301105705,0.53,16.1,5.08,61.02,1.57,15.7,0.7614013014478018
50.0,1.0,1.0,2.1,350.0,13.3927447682896,2.84,31.04,3.75,39.29,2.09,20.99,4.157107976077091
50.0,1.0,1.0,2.1,400.0,40.7971628999023,6.36,42.04,4.71,27.07,0.0,19.82,17.151127283118925
50.0,1.0,5.0,2.1,250.0,0.319963965933778,1.06,2.19,12.49,83.06,0.0,1.2,0.007007210853949738
50.0,1.0,5.0,2.1,275.0,1.01545342802349,0.58,1.65,4.67,92.77,0.0,0.33,0.016754981562387583
50.0,1.0,5.0,2.1,300.0,1.68467573268495,0.8,2.17,5.8,90.32,0.0,0.91,0.03655746339926341
50.0,1.0,5.0,2.1,350.0,9.01884092947588,0.81,3.3,4.3,88.98,0.7,1.91,0.29762175067270397
50.0,1.0,5.0,2.1,400.0,28.5943907570513,1.93,10.29,3.68,79.2,0.0,4.9,2.9423628089005787
50.0,0.0,1.0,1.68,250.0,0.22769155445988604,2.14,0.1,97.76,0.0,0.0,0.0,0.00022769155445988607
50.0,0.0,1.0,1.68,275.0,0.5163120422227879,2.83,1.0,94.75,0.0,0.0,1.42,0.00516312042222788
50.0,0.0,1.0,1.68,300.0,1.6075527765518502,3.24,1.82,93.76,0.0,0.0,1.18,0.02925746053324368
50.0,0.0,1.0,1.68,350.0,8.207581126989059,7.61,4.35,85.83,0.0,0.0,2.21,0.357029779024024
50.0,0.0,1.0,1.68,400.0,32.5934981167189,13.35,7.93,75.03,0.0,0.0,3.69,2.5846644006558086
50.0,1.0,1.0,1.68,250.0,1.44170934251802,0.14,6.17,3.48,81.43,7.45,1.33,0.08895346643336184
50.0,1.0,1.0,1.68,275.0,3.4736303967839404,0.18,8.11,4.2,80.0,5.3,2.21,0.2817114251791775
50.0,1.0,1.0,1.68,300.0,6.9143876071819985,0.43,11.22,8.83,71.28,5.34,2.9,0.7757942895258203
50.0,1.0,1.0,1.68,350.0,19.9122976584978,1.17,22.26,13.48,46.5,5.66,10.93,4.4324774587816105
50.0,1.0,1.0,1.68,400.0,44.534966735128,3.63,36.3,16.25,25.79,5.32,12.71,16.166192924851465
67.0,2.0,1.0,1.68,250.0,1.34694843685351,0.31,5.19,5.39,79.6,6.87,2.64,0.06990662387269718
67.0,2.0,1.0,1.68,275.0,2.3054559848032503,0.66,7.62,7.67,74.74,5.91,3.4,0.17567574604200767
67.0,2.0,1.0,1.68,300.0,4.06672930913986,1.2,12.74,19.65,55.4,4.87,6.14,0.5181013139844182
67.0,2.0,1.0,1.68,350.0,14.638775832904198,2.53,23.46,26.42,30.99,3.52,13.08,3.4342568103993254
67.0,2.0,1.0,1.68,400.0,40.047154305474,5.19,27.91,24.73,22.05,3.85,16.27,11.177160766657794
33.0,0.5,1.0,1.68,250.0,2.49268861247491,0.14,1.89,2.63,90.74,3.18,1.42,0.0471118147757758
33.0,0.5,1.0,1.68,275.0,5.33483516226759,0.14,2.55,2.8,89.7,2.85,1.96,0.13603829663782352
33.0,0.5,1.0,1.68,300.0,10.1520362574393,0.25,3.61,4.07,85.12,3.43,3.52,0.3664885088935588
33.0,0.5,1.0,1.68,350.0,24.031898555110196,1.04,10.83,6.25,70.1,4.59,7.19,2.6026546135184345
33.0,0.5,1.0,1.68,400.0,53.615256862479704,2.92,22.3,7.22,49.31,7.48,10.77,11.956202280332976
